Date;costPerKm
1980;0.54
1981;0.58
1982;0.61
1983;0.61
1984;0.62
1985;0.63
1986;0.62
1987;0.63
1988;0.64
1989;0.66
1990;0.70
1991;0.73
1992;0.75
1993;0.79
1994;0.79
1995;0.81
1996;0.84
1997;0.86
1998;0.87
1999;0.89
2000;0.94
2001;0.96
2002;0.99
2003;1.02
2004;1.05
2005;1.07
2006;1.11
2007;1.15
2008;1.21
2009;1.21
2010;1.25
2011;1.31
2012;1.34
2013;1.36
2014;1.37
2015;1.36
2016;1.373992274
2017;1.398849963
2018;1.423707651
2019;1.44856534
2020;1.473423028
2021;1.498280717
2022;1.523138405
2023;1.547996094
